UNIVERSIDAD,NOMBREMUN,NI,COORD,LAT,LONG
UNIVERSIDAD TECNOLÓGICA DE LEÓN,LEÓN,3107,"21.063812120063314, -101.58098418024532",21.06381212,-101.5809842
"UNIVERSIDAD LA SALLE, A.C. - BAJÍO",LEÓN,2285,"21.15265422707044, -101.71129678697724",21.15265423,-101.7112968
UNIVERSIDAD VIRTUAL DEL ESTADO DE GUANAJUATO,PURÍSIMA DEL RINCÓN,1962,"21.028155410036558, -101.87790803028123",21.02815541,-101.877908
UNIVERSIDAD DE GUANAJUATO,GUANAJUATO,1862,"21.01734442459933, -101.25288221922047",21.01734442,-101.2528822
UNIVERSIDAD DE LEÓN,LEÓN,1814,"21.12074985055277, -101.68503560558659",21.12074985,-101.6850356
INSTITUTO TECNOLÓGICO DE CELAYA,CELAYA,1795,"20.540395011196015, -100.81889438539359",20.54039501,-100.8188944
UNIVERSIDAD POLITÉCNICA DE GUANAJUATO,CORTAZAR,1538,"20.50323633962161, -100.93857708344902",20.50323634,-100.9385771
INSTITUTO TECNOLÓGICO SUPERIOR DE IRAPUATO,IRAPUATO,1467,"20.754247007765752, -101.33108112549961",20.75424701,-101.3310811
INSTITUTO UNIVERSITARIO DEL CENTRO DE MÉXICO,LEÓN,1394,"21.152943096389716, -101.6808457158139",21.1529431,-101.6808457
UNIVERSIDAD DE ESTUDIOS PROFESIONALES DE CIENCIAS Y ARTES,LEÓN,1358,"21.101782414565783, -101.68596045210224",21.10178241,-101.6859605
UNIVERSIDAD TECNOLÓGICA DE MÉXICO,LEÓN,1179,"21.149128030836174, -101.652240186251",21.14912803,-101.6522402
UNIVERSIDAD TECNOLÓGICA DEL NORTE DE GUANAJUATO,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,1142,"21.168813349739246, -100.9314426350164",21.16881335,-100.9314426
INSTITUTO TECNOLÓGICO DE LEÓN,LEÓN,1072,"21.066488631222253, -101.58253265657034",21.06648863,-101.5825327
UNIVERSIDAD TECNOLÓGICA DEL SUROESTE DE GUANAJUATO,VALLE DE SANTIAGO,754,"20.39871983483184, -101.22255681595126",20.39871983,-101.2225568
UNIVERSIDAD DE GUANAJUATO,LEÓN,728,"21.061729592909632, -101.57117101772843",21.06172959,-101.571171
UNIVERSIDAD DE GUANAJUATO,CELAYA,709,"20.494266710943418, -100.838695187683",20.49426671,-100.8386952
UNIVERSIDAD TECNOLÓGICA DE SALAMANCA,SALAMANCA,709,"20.57708876126452, -101.23176230000071",20.57708876,-101.2317623
INSTITUTO POLITÉCNICO NACIONAL,SILAO DE LA VICTORIA,686,"21.016997874312434, -101.50293321033081",21.01699787,-101.5029332
UNIVERSIDAD IBEROAMERICANA - LEÓN,LEÓN,661,"21.129759419388666, -101.62598545574409",21.12975942,-101.6259855
UNIVERSIDAD POLITÉCNICA DE JUVENTINO ROSAS,SANTA CRUZ DE JUVENTINO ROSAS,603,"20.643700692976925, -100.96058196856856",20.64370069,-100.960582
UNIVERSIDAD POLITÉCNICA DE PÉNJAMO,PÉNJAMO,584,"20.443449386051288, -101.65274428168408",20.44344939,-101.6527443
UNIVERSIDAD CONTINENTE AMERICANO,CELAYA,575,"20.463450868270172, -101.52968028194448",20.46345087,-101.5296803
INSTITUTO TECNOLÓGICO DE ROQUE,CELAYA,554,"20.58226543310985, -100.82646898748621",20.58226543,-100.826469
UNIVERSIDAD TECNOLÓGICA DE SAN MIGUEL DE ALLENDE,SAN MIGUEL DE ALLENDE,552,"20.9110182249738, -100.70332062643044",20.91101822,-100.7033206
UNIVERSIDAD INTERACTIVA Y A DISTANCIA DEL ESTADO DE GUANAJUATO,IRAPUATO,538,"21.08852126701226, -101.88959155530205",21.08852127,-101.8895916
UNIVERSIDAD DE CELAYA,CELAYA,529,"20.51804854877457, -100.7831390591811",20.51804855,-100.7831391
UNIVERSIDAD POLITÉCNICA DEL BICENTENARIO,SILAO DE LA VICTORIA,529,"20.93367758328418, -101.44566666641502",20.93367758,-101.4456667
INSTITUTO IRAPUATO,IRAPUATO,512,"20.670744206162883, -101.37539325371112",20.67074421,-101.3753933
INSTITUTO UNIVERSITARIO DEL CENTRO DE MÉXICO,IRAPUATO,510,"20.68061415633086, -101.33429756287465",20.68061416,-101.3342976
INSTITUTO TECNOLÓGICO SUPERIOR DE PURÍSIMA DEL RINCÓN,PURÍSIMA DEL RINCÓN,507,"21.061620576238365, -101.86921611946676",21.06162058,-101.8692161
INSTITUTO TECNOLÓGICO SUPERIOR DE ABASOLO,ABASOLO,495,"20.439745632980543, -101.54535682241355",20.43974563,-101.5453568
INSTITUTO TECNOLÓGICO SUPERIOR DE SALVATIERRA,SALVATIERRA,464,"20.195814878423317, -100.906685024792",20.19581488,-100.906685
UNIVERSIDAD DE GUANAJUATO,IRAPUATO,461,"20.744335198138476, -101.33694521133714",20.7443352,-101.3369452
